2016-04-14 11:28:39 - Source IP: 161.28.112.66, Destination IP: 161.28.112.43 - Protocol: 6, Type: GET, URL: / Host: www.sql.net User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0 Iceweasel/43.0.4 Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 
2016-04-14 11:28:39 - Source IP: 161.28.112.43, Destination IP: 161.28.112.66 - Status: 200 
2016-04-14 11:28:51 - Source IP: 161.28.112.66, Destination IP: 161.28.112.43 - Protocol: 6, Type: POST, URL: /sqlInjection.php User: uvu Host: www.sql.net User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0 Iceweasel/43.0.4 Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 Referer: http://www.sql.net/ 
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP GET
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP POST
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP POST
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP GET
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP GET
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP GET
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP POST
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: HTTP GET
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.43, Destination IP: 161.28.112.66, Protocol: TCP
Source IP: 161.28.112.66, Destination IP: 161.28.112.43, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP GET
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: HTTP POST
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
Source IP: 161.28.112.58, Destination IP: 161.28.112.67, Protocol: TCP
Source IP: 161.28.112.67, Destination IP: 161.28.112.58, Protocol: TCP
